degree_class_code;degree_class_name_it;degree_class_number;programme_type_code;degree_class_name_en
TFAE46;LINGUA e CIV. STRANIERA (NEOGRECO);AE46;TF;
TFAF46;LINGUA e CIV. STRANIERA (PORTOGHESE);AF46;TF;
TFAC02;A029,A030: EDUCAZIONE FISICA NEGLI ISTITUTI E SCUOLE DI ISTRUZIONE SECONDARIA II GRADO, SCIENZE MOTORIE E SPORTIVE;AC02;TF;
TFAC03;A031,A032: EDUCAZIONE MUSICALE NEGLI ISTITUTI DI ISTRUZIONE SECONDARIA DI II GRADO,  MUSICA;AC03;TF;
TFAC05;A043,A050: ITALIANO, STORIA  E GEOGRAFIA NELLA SCUOLA SECONDARIA DI I GRADO, MATERIE LETTERARIE NEGLI ISTITUTI DI ISTRUZIONE SECONDARIA DI II GRADO;AC05;TF;
TFAC06;A245,A246: LINGUA STRANIERA (FRANCESE), LINGUA E CIVILTA' STRANIERA (FRANCESE);AC06;TF;
TFAC07;A345,A346: LINGUA STRANIERA (INGLESE) , LINGUA E CIVILTA' STRANIERA (INGLESE);AC07;TF;
TFAC08;A445,A446: LINGUA STRANIERA (SPAGNOLO), LINGUA E CIVILTA' STRANIERA (SPAGNOLO);AC08;TF;
TFAC09;A545,A546: LINGUA STRANIERA (TEDESCO), LINGUA E CIVILTA' STRANIERA (TEDESCO);AC09;TF;
TFAC01;A025,A028: DISEGNO E STORIA DELL'ARTE, ARTE E IMMAGINE;AC01;TF;
PSA030PAS;SCIENZE MOTORIE E SPORTIVE;A030-PAS;PS;
PSA032PAS;EDUCAZIONE MUSICALE NELLA SCUOLA MEDIA;A032-PAS;PS;
PSA033PAS;EDUCAZIONE TECNICA NELLA SCUOLA MEDIA;A033-PAS;PS;
PSA043PAS;ITALIANO, STORIA  E GEOGRAFIA NELLA SCUOLA SECONDARIA DI I GRADO;A043-PAS;PS;
PSA059PAS;MATEMATICHE E SCIENZE NELLA SCUOLA SECONDARIA DI I GRADO;A059-PAS;PS;
PSA245PAS;LINGUA STRANIERA (FRANCESE);A245-PAS;PS;
PSA345PAS;LINGUA STRANIERA (INGLESE) ;A345-PAS;PS;
PSA080PAS;ITALIANO NELLA SCUOLA MEDIA CON LINGUA DI INSEGNAMENTO SLOVENA;A080-PAS;PS;
PSA085PAS;SLOVENO,STORIA ED EDCIVICA E GEOGRAFIA NELLA SCUOLA MEDIA CON LINGUA SLOVENA;A085-PAS;PS;
PSA097PAS;TEDESCO (SECONDA LINGUA) NELLA SCUOLA MEDIA IN LINGUA ITALIANA DELLA PROV DI BOLZANO;A097-PAS;PS;
PSA013PAS;CHIMICA E TECNOLOGIE CHIMICHE;A013-PAS;PS;
PSA016PAS;COSTRUZIONI, TECNOLOGIA DELLE COSTRUZIONI E DISEGNO TECNICO;A016-PAS;PS;
PSA017PAS;DISCIPLINE ECONOMICO-AZIENDALI;A017-PAS;PS;
PSA019PAS;DISCIPLINE GIURIDICHE ED ECONOMICHE;A019-PAS;PS;
PSA020PAS;DISCIPLINE MECCANICHE E TECNOLOGIA;A020-PAS;PS;
PSA029PAS;EDUCAZIONE FISICA NEGLI ISTITUTI E SCUOLE DI ISTRUZIONE SECONDARIA II GRADO;A029-PAS;PS;
PSA034PAS;ELETTRONICA;A034-PAS;PS;
PSA035PAS;ELETTROTECNICA ED APPLICAZIONI;A035-PAS;PS;
PSA036PAS;FILOSOFIA, PSICOLOGIA E SCIENZE DELL'EDUCAZIONE;A036-PAS;PS;
PSA037PAS;FILOSOFIA E STORIA;A037-PAS;PS;
PSA038PAS;FISICA;A038-PAS;PS;
PSA039PAS;GEOGRAFIA;A039-PAS;PS;
PSA042PAS;INFORMATICA;A042-PAS;PS;
PSA047PAS;MATEMATICA;A047-PAS;PS;
PSA048PAS;MATEMATICA APPLICATA;A048-PAS;PS;
PSA049PAS;MATEMATICA E FISICA;A049-PAS;PS;
PSA050PAS;MATERIE LETTERARIE NEGLI ISTITUTI DI ISTRUZIONE SECONDARIA DI II GRADO;A050-PAS;PS;
PSA051PAS;MATERIE LETTERARIE E LATINO NEI LICEI E NELL'ISTITUTO MAGISTRALE;A051-PAS;PS;
PSA052PAS;MATERIE LETTERARIE, LATINO E GRECO NEL LICEO CLASSICO;A052-PAS;PS;
PSA057PAS;SCIENZA DEGLI ALIMENTI;A057-PAS;PS;
PSA058PAS;SCIENZE E MECCANICA AGRARIA, TECNICHE DI GESTIONE AZIENDALE, FITOPATOLOGIA ED ENTOMOLOGIA AGRARIA;A058-PAS;PS;
PSA060PAS;SCIENZE NATURALI, CHIMICA E GEOGRAFIA, MICROBIOLOGIA;A060-PAS;PS;
PSA061PAS;STORIA DELL'ARTE;A061-PAS;PS;
PSA071PAS;TECNOLOGIA E DISEGNO TECNICO;A071-PAS;PS;
PSA072PAS;TOPOGRAFIA GENERALE, COSTRUZIONI RURALI E DISEGNO;A072-PAS;PS;
PSA246PAS;LINGUA E CIVILTA' STRANIERA (FRANCESE);A246-PAS;PS;
PSA346PAS;LINGUA E CIVILTA' STRANIERA (INGLESE);A346-PAS;PS;
PSA446PAS;LINGUA E CIVILTA' STRANIERA (SPAGNOLO);A446-PAS;PS;
PSA546PAS;LINGUA E CIVILTA' STRANIERA (TEDESCO);A546-PAS;PS;
PSA646PAS;LINGUA E CIVILTA' STRANIERA (RUSSO);A646-PAS;PS;
PSA081PAS;LINGUA E LETTERE ITALIANE NEGLI ISTITUTI DI ISTRSECONDARIA DI II GRADO LINGUA SLOVENA;A081-PAS;PS;
PSA082PAS;MATERIE LETTERARIE NEGLI ISTITUTI DI II GRADO DI LINGUA SLOVENA;A082-PAS;PS;
PSA001PAS;AEROTECNICA E COSTRUZIONI AERONAUTICHE;A001-PAS;PS;
PSA002PAS;ANATOMIA, FISIOPATOLOGIA OCULARE E LABORATORIO DI MISURE OFTALMICHE;A002-PAS;PS;
PSA003PAS;ARTE DEL DISEGNO ANIMATO;A003-PAS;PS;
PSA004PAS;ARTE DEL TESSUTO DELLA MODA E DEL COSTUME;A004-PAS;PS;
PSA006PAS;ARTE DELLA CERAMICA;A006-PAS;PS;
PSA007PAS;ARTE DELLA FOTOGRAFIA E GRAFICA PUBBLICITARIA;A007-PAS;PS;
PSA008PAS;ARTI DELLA GRAFICA E DELL'INCISIONE;A008-PAS;PS;
PSA009PAS;ARTE DELLA STAMPA E DEL RESTAURO DEL LIBRO;A009-PAS;PS;
PSA010PAS;ARTI DEI METALLI E DELL'OREFICERIA;A010-PAS;PS;
PSA011PAS;ARTE MINERARIA;A011-PAS;PS;
PSA012PAS;CHIMICA AGRARIA;A012-PAS;PS;
PSA014PAS;CIRCOLAZIONE AEREA TELECOMUNICAZIONI AERONAUTICHE ED ESERCITAZIONI;A014-PAS;PS;
PSA015PAS;COSTRUZIONI NAVALI E TEORIA DELLA NAVE;A015-PAS;PS;
PSA018PAS;DISCIPLINE GEOMETRICHE, ARCHITETTONICHE ARREDAMENTO E SCENOTECNICA;A018-PAS;PS;
PSA021PAS;DISCIPLINE PITTORICHE;A021-PAS;PS;
PSA022PAS;DISCIPLINE PLASTICHE;A022-PAS;PS;
PSA023PAS;DISEGNO E MODELLAZIONE ODONTOTECNICA;A023-PAS;PS;
PSA024PAS;DISEGNO E STORIA DEL COSTUME;A024-PAS;PS;
PSA025PAS;DISEGNO E STORIA DELL'ARTE;A025-PAS;PS;
PSA027PAS;DISEGNO TECNICO ED ARTISTICO;A027-PAS;PS;
PSA028PAS;EDUCAZIONE ARTISTICA;A028-PAS;PS;
PSA031PAS;EDUCAZIONE MUSICALE NEGLI ISTITUTI DI ISTRUZIONE SECONDARIA DI II GRADO;A031-PAS;PS;
PSA040PAS;IGIENE, ANATOMIA, FISIOLOGIA, PATOLOGIA GENERALE E DELL'APPARATO MASTICATORIO;A040-PAS;PS;
PSA044PAS;LINGUAGGIO PER LA CINEMATOGRAFIA E LA TELEVISIONE;A044-PAS;PS;
PSA053PAS;METEOROLOGIA AERONAUTICA ED ESERCITAZIONI;A053-PAS;PS;
PSA054PAS;MINERALOGIA E GEOLOGIA;A054-PAS;PS;
PSA055PAS;NAVIGAZIONE AEREA ED ESERCITAZIONI;A055-PAS;PS;
PSA056PAS;NAVIGAZIONE, ARTE NAVALE ED ELEMENTI DI COSTRUZIONI NAVALI;A056-PAS;PS;
PSA062PAS;TECNICA DELLA REGISTRAZIONE DEL SUONO;A062-PAS;PS;
PSA063PAS;TECNICA DELLA RIPRESA CINEMATOGRAFICA E TELEVISIVA;A063-PAS;PS;
PSA064PAS;TECNICA E ORGANIZZAZIONE DELLA PRODUZIONE CINEMATOGRAFICA E TELEVISIVA;A064-PAS;PS;
PSA065PAS;TECNICA FOTOGRAFICA;A065-PAS;PS;
PSA068PAS;TECNOLOGIE DELL'ABBIGLIAMENTO;A068-PAS;PS;
PSA069PAS;TECNOLOGIE  GRAFICHE ED IMPIANTI GRAFICI;A069-PAS;PS;
PSA070PAS;TECNOLOGIE TESSILI;A070-PAS;PS;
PSA074PAS;ZOOTECNICA E SCIENZA DELLA PRODUZIONE ANIMALE;A074-PAS;PS;
PSA075PAS;DATTILOGRAFIA E STENOGRAFIA;A075-PAS;PS;
PSA076PAS;TRATTAMENTO TESTI, CALCOLO, CONTABILITA' ELETTRONICA ED APPLICAZIONI GESTIONALI;A076-PAS;PS;
PSA445PAS;LINGUA STRANIERA (SPAGNOLO);A445-PAS;PS;
PSA545PAS;LINGUA STRANIERA (TEDESCO);A545-PAS;PS;
PSA746PAS;LINGUA E CIVILTA' STRANIERA (ALBANESE);A746-PAS;PS;
PSA846PAS;LINGUA E CIVILTA' STRANIERA (SLOVENO);A846-PAS;PS;
PSA946PAS;LINGUA E CIVILTA' STRANIERA (SERBO-CROATO);A946-PAS;PS;
PSC010PAS;ADDETTO ALL'UFFICIO TECNICO;C010-PAS;PS;
PSC020PAS;ATTIVITA' PRATICHE SPECIALI;C020-PAS;PS;
PSC031PAS;CONVERSAZIONE IN LINGUA STRANIERA (FRANCESE);C031-PAS;PS;
PSC032PAS;CONVERSAZIONE IN LINGUA STRANIERA (INGLESE);C032-PAS;PS;
PSC033PAS;CONVERSAZIONE IN LINGUA STRANIERA (SPAGNOLO);C033-PAS;PS;
PSC034PAS;CONVERSAZIONE IN LINGUA STRANIERA (TEDESCO);C034-PAS;PS;
PSC038PAS;CONVERSAZIONE IN LINGUA STRANIERA (SERBO CROATO);C038-PAS;PS;
PSC040PAS;ESERCITAZIONI AERONAUTICHE;C040-PAS;PS;
PSC050PAS;ESERCITAZIONI AGRARIE;C050-PAS;PS;
PSC070PAS;ESERCITAZIONI DI ABBIGLIAMENTO E MODA;C070-PAS;PS;
PSC080PAS;ESERCITAZIONI DI CIRCOLAZIONE AEREA;C080-PAS;PS;
PSC090PAS;ESERCITAZIONI DI COMUNICAZIONI;C090-PAS;PS;
PSC100PAS;ESERCITAZIONI DI DISEGNO ARTISTICO DI TESSUTI;C100-PAS;PS;
PSC110PAS;ESERCITAZIONI DI ECONOMIA DOMESTICA;C110-PAS;PS;
PSC130PAS;ESERCITAZIONI DI ODONTOTECNICA;C130-PAS;PS;
PSC140PAS;ESERCITAZIONI DI OFFICINA MECCANICA, AGRICOLA E DI MACCHINE AGRICOLE;C140-PAS;PS;
PSC150PAS;ESERCITAZIONI DI PORTINERIA E PRATICA DI AGENZIA;C150-PAS;PS;
PSC170PAS;ESERCITAZIONI DI TEORIA DELLA NAVE E DI COSTRUZIONI NAVALI;C170-PAS;PS;
PSC180PAS;ESERCITAZIONI NAUTICHE;C180-PAS;PS;
PSC190PAS;ESERCITAZIONI PRATICHE PER CENTRALINISTI TELEFONICI;C190-PAS;PS;
PSC200PAS;ESERCITAZIONI PRATICHE DI OTTICA;C200-PAS;PS;
PSC220PAS;LABORATORIO DI TECNOL.TESSILI E DELL'ABBIGLIAMENTO E REPARTI DI LAVORAZ.TESSILI E ABBIGL;C220-PAS;PS;
PSC230PAS;LABORATORIO DI AEROTECNICA, COSTRUZIONI E TECNOLOGIE AERONAUTICHE;C230-PAS;PS;
PSC240PAS;LABORATORIO DI CHIMICA E CHIMICA INDUSTRIALE;C240-PAS;PS;
PSC250PAS;LABORATORIO DI COSTRUZIONE, VERNICIATURA E RESTAURO DI STRUMENTI AD ARCO;C250-PAS;PS;
PSC260PAS;LABORATORIO DI ELETTRONICA;C260-PAS;PS;
PSC270PAS;LABORATORIO DI ELETTROTECNICA;C270-PAS;PS;
PSC280PAS;LABORATORIO DI FISICA ATOMICA E NUCLEARE E STRUMENTI;C280-PAS;PS;
PSC290PAS;LABORATORIO DI FISICA E FISICA APPLICATA;C290-PAS;PS;
PSC300PAS;LABORATORIO DI INFORMATICA GESTIONALE;C300-PAS;PS;
PSC310PAS;LABORATORIO DI INFORMATICA INDUSTRIALE;C310-PAS;PS;
PSC320PAS;LABORATORIO MECCANICO-TECNOLOGICO;C320-PAS;PS;
PSC330PAS;LABORATORIO DI OREFICERIA;C330-PAS;PS;
PSC350PAS;LABORATORIO DI TECNICA MICROBIOLOGICA;C350-PAS;PS;
PSC360PAS;LABORATORIO DI TECNOLOGIA CARTARIA ED ESERCITAZIONI DI CARTIERA;C360-PAS;PS;
PSC370PAS;LABORATORIO E REPARTI DI LAVORAZIONE DEL LEGNO;C370-PAS;PS;
PSC380PAS;LABORATORIO E REPARTI DI LAVORAZIONE PER LE ARTI GRAFICHE;C380-PAS;PS;
PSC390PAS;LABORATORIO E REPARTI DI LAVORAZIONE PER L'INDUSTRIA MINERARIA;C390-PAS;PS;
PSC420PAS;LABORATORIO TECNOLOGICO PER IL MARMO-REPARTI SCULTURA,SMODELLATURA,DECORAZIONE E ORNATO;C420-PAS;PS;
PSC430PAS;LABORATORIO TECNOLOGICO PER L'EDILIZIA ED ESERCITAZIONI DI TOPOGRAFIA;C430-PAS;PS;
PSC440PAS;MASSOCHINESITERAPIA;C440-PAS;PS;
PSC450PAS;METODOLOGIE OPERATIVE NEI SERVIZI SOCIALI;C450-PAS;PS;
PSC460PAS;REPARTI DI LAVORAZIONE PER IL MONTAGGIO CINEMATOGRAFICO E TELEVISIVO;C460-PAS;PS;
PSC470PAS;REPARTI DI LAVORAZIONE PER LA REGISTRAZIONE DEL SUONO;C470-PAS;PS;
PSC480PAS;REPARTI DI LAVORAZIONE PER LA RIPRESA CINEMATOGRAFICA E TELEVISIVA;C480-PAS;PS;
PSC490PAS;REPARTI DI LAVORAZIONE PER LE ARTI FOTOGRAFICHE;C490-PAS;PS;
PSC500PAS;TECNICA DEI SERVIZI ED ESERCITAZIONI PRATICHE DI CUCINA;C500-PAS;PS;
PSC510PAS;TECNICA DEI SERVIZI ED ESERCITAZIONI PRATICHE DI SALA BAR;C510-PAS;PS;
PSC520PAS;TECNICA DEI SERVIZI E PRATICA OPERATIVA;C520-PAS;PS;
PSD601PAS;ARTE DELLA LAVORAZIONE DEI METALLI;D601-PAS;PS;
PSD602PAS;ARTE DELL'OREFICERIA, DELLA LAVORAZIONE DELLE PIETRE DURE E DELLE GEMME;D602-PAS;PS;
PSD603PAS;ARTE DEL DISEGNO D'ANIMAZIONE;D603-PAS;PS;
PSD604PAS;ARTE DELLA RIPRESA E MONTAGGIO PER IL DISEGNO ANIMATO;D604-PAS;PS;
PSD605PAS;ARTE DELLA TESSITURA E DELLA DECORAZIONE DEI TESSUTI;D605-PAS;PS;
PSD608PAS;ARTE DELLA DECORAZIONE E COTTURA DEI PRODOTTI CERAMICI;D608-PAS;PS;
PSD609PAS;ARTE DELLA FORMATURA E FOGGIATURA;D609-PAS;PS;
PSD610PAS;ARTE DELLA FOTOGRAFIA E DELLA CINEMATOGRAFIA;D610-PAS;PS;
PSD611PAS;ARTE DELAA XILOGRAFIA, CALCOGRAFIA E LITOGRAFIA;D611-PAS;PS;
PSD612PAS;ARTE DELLA SERIGRAFIA E DELLA FOTOINCISIONE;D612-PAS;PS;
PSD613PAS;ARTE DELLA TIPOGRAFIA E DELLA GRAFICA PUBBLICITARIA;D613-PAS;PS;
PSD614PAS;ARTE DEL TAGLIO E CONFEZIONE;D614-PAS;PS;
PSD615PAS;ARTE DELLA DECORAZIONE PITTORICA E SCENOGRAFICA;D615-PAS;PS;
PSD616PAS;ARTE DELLA MODELLISTICA, DELL'ARREDAMENTO E DELLA SCENOTECNICA;D616-PAS;PS;
PSD618PAS;ARTE DELL'EBANISTERIA, DELL'INTAGLIO E DELL'INTARSIO;D618-PAS;PS;
PSD619PAS;ARTE DELLE LACCHE, DELLA DORATURA E DEL RESTAURO;D619-PAS;PS;
PSD620PAS;ARTE DEL MOSAICO E DEL COMMESSO;D620-PAS;PS;
PSD621PAS;ARTE DELLA LAVORAZIONE DEL MARMO E DELLA PIETRA;D621-PAS;PS;
PSD622PAS;LABORATORIO TECNOLOGICO DELLE ARTI DELLA CERAMICA DEL VETRO E DEL CRISTALLO;D622-PAS;PS;
PSAB77PAS;Chitarra;AB77-PAS;PS;
PSAC77PAS;Clarinetto;AC77-PAS;PS;
PSAD77PAS;Corno;AD77-PAS;PS;
PSAE77PAS;Fagotto;AE77-PAS;PS;
PSAF77PAS;Fisarmonica;AF77-PAS;PS;
PSAG77PAS;Flauto;AG77-PAS;PS;
PSAH77PAS;Oboe;AH77-PAS;PS;
PSAI77PAS;Percussioni;AI77-PAS;PS;
PSAJ77PAS;Pianoforte;AJ77-PAS;PS;
PSAK77PAS;Saxofono;AK77-PAS;PS;
PSAL77PAS;Tromba;AL77-PAS;PS;
PSAM77PAS;Violino;AM77-PAS;PS;
PSAA77PAS;Arpa;AA77-PAS;PS;
PSAN77PAS;Violoncello;AN77-PAS;PS;
PSA845PAS;LINGUA STRANIERA (SLOVENO) ;A845-PAS;PS;
PSAA46PAS;LINGUA E CIVILTA' STRANIERA CINESE;AA46-PAS;PS;
PSAB46PAS;LINGUA E CIVILTA' STRANIERA GIAPPONESE;AB46-PAS;PS;
CTCSS;Classe generica per il conseguimento della specializzazione per le attività di sostegno didattico;CSS;CT;
CLCLIL60;Generica classe per Perfezionamento insegnamento di disciplina non linguistica in lingua (60 CFU);CLIL-60;CL;
CLCLIL20;Generica classe per Perfezionamento insegnamento di disciplina non linguistica in lingua (20 CFU);CLIL-20;CL;
PSAA00PAS;INSEGNAMENTO SCUOLA PRIMARIA;AA00-PAS;PS;
PSEE00PAS;INSEGNAMENTO SCUOLA INFANZIA;EE00-PAS;PS;
